Console Name,Company,Gen Years,Released Year,Generation,Discontinuation Year,Units sold (million),,
Magnavox Odyssey,Magnavox,1972-1978,1972 ,1 ,1975,0.35 ,,"('Magnavox Odyssey', 'Magnavox', '1972-1978', 1972, 1, 1975, 0.35),"
Home Pong,Atari,1972-1978,1975 ,1 ,1978,0.15 ,,"('Home Pong', 'Atari', '1972-1978', 1975, 1, 1978, 0.15),"
Atari 2600,Atari,1978-1982,1977 ,2 ,1992,30.00 ,,"('Atari 2600', 'Atari', '1978-1982', 1977, 2, 1992, 30),"
Magnavox Odyssey 2,Magnavox,1978-1982,1978 ,2 ,1984,2.00 ,,"('Magnavox Odyssey 2', 'Magnavox', '1978-1982', 1978, 2, 1984, 2),"
Intellivision,Mattel,1978-1982,1979 ,2 ,1990,3.00 ,,"('Intellivision', 'Mattel', '1978-1982', 1979, 2, 1990, 3),"
Atari 5200/7800,Atari,1982-1988,1982 ,3 ,1984,2.00 ,,"('Atari 5200/7800', 'Atari', '1982-1988', 1982, 3, 1984, 2),"
Nintendo Entertainment System,Nintendo,1982-1988,1983 ,3 ,1995,62.00 ,,"('Nintendo Entertainment System', 'Nintendo', '1982-1988', 1983, 3, 1995, 62),"
Sega Master System,Sega,1982-1988,1986 ,3 ,1996,13.00 ,,"('Sega Master System', 'Sega', '1982-1988', 1986, 3, 1996, 13),"
Sega Genesis,Sega,1988-1994,1988 ,4 ,1997,33.00 ,,"('Sega Genesis', 'Sega', '1988-1994', 1988, 4, 1997, 33),"
Super Nintendo,Nintendo,1988-1994,1990 ,4 ,2003,49.00 ,,"('Super Nintendo', 'Nintendo', '1988-1994', 1990, 4, 2003, 49),"
PlayStation,Sony,1994-1998,1994 ,5 ,2006,102.00 ,,"('PlayStation', 'Sony', '1994-1998', 1994, 5, 2006, 102),"
Sega Saturn,Sega,1994-1998,1994 ,5 ,2000,9.00 ,,"('Sega Saturn', 'Sega', '1994-1998', 1994, 5, 2000, 9),"
Nintendo 64,Nintendo,1994-1998,1996 ,5 ,2002,33.00 ,,"('Nintendo 64', 'Nintendo', '1994-1998', 1996, 5, 2002, 33),"
Sega Dreamcast,Sega,1998-2005,1998 ,6 ,2001,9.00 ,,"('Sega Dreamcast', 'Sega', '1998-2005', 1998, 6, 2001, 9),"
PlayStation 2,Sony,1998-2005,2000 ,6 ,2013,155.00 ,,"('PlayStation 2', 'Sony', '1998-2005', 2000, 6, 2013, 155),"
GameCube,Nintendo,1998-2005,2001 ,6 ,2007,22.00 ,,"('GameCube', 'Nintendo', '1998-2005', 2001, 6, 2007, 22),"
Xbox,Microsoft,1998-2005,2001 ,6 ,2009,24.00 ,,"('Xbox', 'Microsoft', '1998-2005', 2001, 6, 2009, 24),"
Xbox 360,Microsoft,2005-2012,2005 ,7 ,2016,84.00 ,,"('Xbox 360', 'Microsoft', '2005-2012', 2005, 7, 2016, 84),"
PlayStation 3,Sony,2005-2012,2006 ,7 ,2017,87.00 ,,"('PlayStation 3', 'Sony', '2005-2012', 2006, 7, 2017, 87),"
Wii,Nintendo,2005-2012,2006 ,7 ,2013,101.00 ,,"('Wii', 'Nintendo', '2005-2012', 2006, 7, 2013, 101),"
Wii U,Nintendo,2012-2017,2012 ,8 ,2017,14.00 ,,"('Wii U', 'Nintendo', '2012-2017', 2012, 8, 2017, 14),"
PlayStation 4,Sony,2012-2017,2013 ,8 ,,117.00 ,,"('PlayStation 4', 'Sony', '2012-2017', 2013, 8, , 117),"
Xbox One,Microsoft,2012-2017,2013 ,8 ,2020,58.00 ,,"('Xbox One', 'Microsoft', '2012-2017', 2013, 8, 2020, 58),"
Nintendo Switch,Nintendo,2017-Ongoing,2017 ,9 ,,138.00 ,,"('Nintendo Switch', 'Nintendo', '2017-Ongoing', 2017, 9, , 138),"
PlayStation 5,Sony,2017-Ongoing,2020 ,9 ,,55.00 ,,"('PlayStation 5', 'Sony', '2017-Ongoing', 2020, 9, , 55),"
Xbox Series,Microsoft,2017-Ongoing,2020 ,9 ,,28.00 ,,"('Xbox Series', 'Microsoft', '2017-Ongoing', 2020, 9, , 28),"
